"dataset","model","sample.size","effect_size","replicate","minor.freq","b.snp","b.med","SD","W_n","Z_n","K_n","U_n","n.resamples","R2.T1.U","R2.T2.U","truth.model","n.true.confs","true.confs","CSq.n.selected","CSq.n.tp","CSq.n.fp","CSq.n.fn","CSq.n.fp.other.trio","CSq.has.common.child","CSq.has.intermediate","CSq.selected","CSa.n.selected","CSa.n.tp","CSa.n.fp","CSa.n.fn","CSa.n.fp.other.trio","CSa.has.common.child","CSa.has.intermediate","CSa.selected","CSq.filter_int_child","CSa.filter_int_child","mrpc.truth.model","mrpc.truth.correct","mrpc.truth.correct.coarse","mrpc.truth.time.seconds","mrpc.truth.timed.out","mrpc.truth.error","mrpc.CSq.model","mrpc.CSq.correct","mrpc.CSq.correct.coarse","mrpc.CSq.time.seconds","mrpc.CSq.timed.out","mrpc.CSq.error","mrpc.CSa.model","mrpc.CSa.correct","mrpc.CSa.correct.coarse","mrpc.CSa.time.seconds","mrpc.CSa.timed.out","mrpc.CSa.error"
139,"model3",300,"large",2,0.47,1.02779572980944,0.876740315929055,1,1,1,0,9,1,0.189661626875346,0.134893917881332,"M3",9,"U1.139;U2.139;U3.139;U4.139;U5.139;U6.139;U7.139;U8.139;U9.139",5,2,3,7,1,TRUE,TRUE,"U3.139;U9.139;W1.139;Z1.139;U5.839",93,6,87,3,85,TRUE,TRUE,"U28.36;U32.36;U20.65;U15.136;U2.139;U3.139;U6.139;U7.139;U8.139;U9.139;W1.139;Z1.139;U11.187;W1.187;U18.190;U34.190;U4.212;U28.239;U23.240;U2.265;U30.290;U5.313;Z1.314;U17.315;U21.315;W1.339;U16.488;U17.514;U33.514;U9.536;U15.536;Z1.536;W1.538;U8.539;U31.563;U1.586;U14.589;U10.636;U2.639;W1.662;U28.663;U10.687;U11.739;W1.762;U36.763;Z1.789;U38.812;U46.814;U5.839;U18.840;U17.864;U1.865;U5.887;U13.913;U35.913;U30.937;U20.939;U7.990;U3.1040;U43.1062;U17.1087;U41.1089;U34.1112;U19.1137;U14.1138;U17.1161;U13.1164;U7.1165;Z1.1165;U20.1186;U4.1187;U18.1188;U3.1213;U14.1214;U18.1236;U6.1238;U5.1239;U1.1262;U28.1264;U1.1287;U10.1287;U2.1288;U8.1288;U20.1340;U25.1362;U2.1389;U19.1389;U28.1411;U23.1412;U10.1440;U11.1463;U15.1463;U33.1490",TRUE,TRUE,"M3",TRUE,TRUE,0.101287841796875,FALSE,NA,"M3",TRUE,TRUE,0.0888700485229492,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
140,"model4",300,"large",2,0.05,1.44250197894871,0.5868062825175,1,1,1,0,36,1,0.605202606117645,0.48961638368304,"M4",36,"U1.140;U2.140;U3.140;U4.140;U5.140;U6.140;U7.140;U8.140;U9.140;U10.140;U11.140;U12.140;U13.140;U14.140;U15.140;U16.140;U17.140;U18.140;U19.140;U20.140;U21.140;U22.140;U23.140;U24.140;U25.140;U26.140;U27.140;U28.140;U29.140;U30.140;U31.140;U32.140;U33.140;U34.140;U35.140;U36.140",8,5,3,31,1,TRUE,TRUE,"U14.140;U18.140;U26.140;U34.140;U35.140;W1.140;Z1.140;U8.765",97,17,80,19,78,TRUE,TRUE,"U25.38;W1.38;U26.62;U21.86;U43.90;U8.114;U12.136;U1.140;U3.140;U8.140;U9.140;U11.140;U12.140;U14.140;U18.140;U22.140;U23.140;U26.140;U28.140;U29.140;U31.140;U33.140;U34.140;U35.140;W1.140;Z1.140;W1.189;U28.211;U26.212;U10.213;U24.213;U6.262;U12.264;U13.311;U18.337;U11.364;U11.365;U11.388;Z1.390;U6.411;U2.464;U39.489;U25.490;Z1.513;U10.515;U35.564;U10.587;U27.588;U11.589;U5.613;U5.636;U2.638;W1.662;U13.665;U16.665;U46.686;U18.688;U10.689;U14.713;U18.713;U9.737;U2.762;U17.762;U8.765;U26.765;U31.765;W1.786;U12.789;U9.862;U39.862;U15.913;U4.914;U4.990;U34.1011;U20.1012;U16.1013;U29.1036;U25.1061;U9.1064;U1.1089;U35.1089;U44.1112;U3.1137;U29.1138;U33.1165;U41.1237;U13.1290;U15.1290;U30.1290;U5.1312;U46.1312;U29.1339;W1.1411;U3.1413;U5.1437;U23.1489;U41.1490",TRUE,TRUE,NA,FALSE,FALSE,NA,TRUE,"reached elapsed time limit [cpu=180s, elapsed=180s]","M1.2",FALSE,FALSE,3.85307312011719,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
151,"model0",50,"small",3,0.42,0.325017396267503,0.175339794903994,1,1,1,0,31,1,0.797820478670038,0.661833367423321,"M0.1",31,"U1.151;U2.151;U3.151;U4.151;U5.151;U6.151;U7.151;U8.151;U9.151;U10.151;U11.151;U12.151;U13.151;U14.151;U15.151;U16.151;U17.151;U18.151;U19.151;U20.151;U21.151;U22.151;U23.151;U24.151;U25.151;U26.151;U27.151;U28.151;U29.151;U30.151;U31.151",0,0,0,31,0,FALSE,FALSE,"",77,1,76,30,75,TRUE,FALSE,"U23.5;U6.55;U1.76;U3.101;U13.103;U11.105;U7.127;U37.128;U9.151;Z1.151;U1.228;U15.230;U8.252;U12.252;U7.254;U43.278;U14.326;U38.330;U5.351;U13.353;U19.402;U6.430;U39.430;U22.476;U16.477;U1.503;U27.526;U13.527;W1.555;U1.576;U33.604;U29.629;U29.630;U18.652;U22.652;U38.655;U16.676;Z1.676;U25.678;U2.703;U13.704;U34.705;U25.727;U6.754;U9.803;Z1.804;U17.854;U17.855;U22.855;U7.877;U5.953;U9.953;U8.1001;U3.1026;U18.1051;U32.1053;U10.1055;U19.1079;U9.1128;U3.1177;Z1.1203;U21.1226;U1.1229;U39.1230;U8.1255;U23.1255;U9.1279;W1.1280;U8.1304;U10.1326;U12.1328;U32.1352;U4.1353;U16.1354;U13.1453;U9.1479;W1.1479",TRUE,TRUE,"Other",FALSE,FALSE,0.102052211761475,FALSE,NA,"Other",FALSE,FALSE,0.0258541107177734,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
152,"model1",50,"small",3,0.5,0.191761090792716,0.218630718206987,1,1,1,0,22,1,0.715210027919419,0.586499126709054,"M1.1",22,"U1.152;U2.152;U3.152;U4.152;U5.152;U6.152;U7.152;U8.152;U9.152;U10.152;U11.152;U12.152;U13.152;U14.152;U15.152;U16.152;U17.152;U18.152;U19.152;U20.152;U21.152;U22.152",0,0,0,22,0,FALSE,FALSE,"",98,3,95,19,94,TRUE,FALSE,"U8.29;U11.54;U3.76;U4.76;U31.80;U15.101;U7.128;U18.130;U4.152;U10.152;U18.152;Z1.152;U24.154;Z1.177;U32.180;U32.205;U20.251;U9.255;U16.278;U38.278;U8.301;U19.301;U13.326;U1.351;W1.352;U1.355;U7.379;U4.402;U18.403;U4.451;U15.452;U32.476;U25.502;U29.502;Z1.502;U1.504;U15.505;U14.527;U9.529;U9.554;U12.554;U13.577;U23.579;U1.580;U8.604;U22.604;U14.626;U9.629;U26.630;U27.655;U9.677;U17.704;U1.751;U21.751;U6.752;U14.780;U15.801;U17.802;U21.804;U23.804;U10.829;U4.830;U17.830;U22.830;Z1.853;U16.876;U2.905;U11.905;U11.929;U35.951;U17.953;U15.954;U19.954;U24.954;U38.978;U6.1003;U9.1079;U34.1079;U19.1105;U40.1152;U14.1176;U6.1177;U8.1178;U22.1201;U26.1202;U15.1204;U9.1227;U36.1276;U34.1279;U35.1279;U21.1302;U5.1328;U22.1351;U9.1352;W1.1376;U7.1378;U4.1380;U7.1453",TRUE,TRUE,"Other",FALSE,FALSE,0.0567829608917236,FALSE,NA,"Other",FALSE,FALSE,0.0219790935516357,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
153,"model2",50,"small",3,0.05,0.37797438390553,0.232284047594294,1,1,1,0,12,9,0.463429106165533,0.55877502580347,"M2.1",12,"U1.153;U2.153;U3.153;U4.153;U5.153;U6.153;U7.153;U8.153;U9.153;U10.153;U11.153;U12.153",0,0,0,12,0,FALSE,FALSE,"",72,3,69,9,68,TRUE,FALSE,"U19.2;W1.3;U8.27;U7.51;U30.102;U9.104;U14.104;U11.152;U6.153;U9.153;U12.153;Z1.153;W1.176;U8.180;U15.180;U17.180;U6.203;U29.251;U36.278;W1.378;Z1.403;U5.405;U14.426;U15.452;U15.478;U23.502;U4.577;U9.626;U31.626;U3.629;U32.629;U19.655;U18.701;U27.701;U32.705;U1.751;U19.829;U20.830;U3.852;U7.854;U2.955;U33.977;U7.1003;U11.1029;U15.1029;U26.1051;U34.1053;U29.1080;U25.1126;U2.1128;U7.1130;U2.1152;U25.1153;U11.1177;U22.1201;U3.1202;U3.1228;U8.1228;U32.1228;U9.1254;U18.1277;U5.1279;U34.1279;Z1.1301;U17.1327;U11.1354;U38.1355;U21.1401;U25.1401;W1.1403;U4.1426;U15.1452",TRUE,TRUE,"Other",FALSE,FALSE,0.0318479537963867,FALSE,NA,"Other",FALSE,FALSE,0.0185081958770752,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
154,"model3",50,"small",3,0.17,0.48541512824595,0.264175013825297,1,1,1,0,44,1,0.902530087686023,0.981424895890674,"M3",44,"U1.154;U2.154;U3.154;U4.154;U5.154;U6.154;U7.154;U8.154;U9.154;U10.154;U11.154;U12.154;U13.154;U14.154;U15.154;U16.154;U17.154;U18.154;U19.154;U20.154;U21.154;U22.154;U23.154;U24.154;U25.154;U26.154;U27.154;U28.154;U29.154;U30.154;U31.154;U32.154;U33.154;U34.154;U35.154;U36.154;U37.154;U38.154;U39.154;U40.154;U41.154;U42.154;U43.154;U44.154",0,0,0,44,0,FALSE,FALSE,"",77,2,75,42,73,TRUE,TRUE,"U15.2;U27.4;U15.5;U33.5;U11.55;U8.79;U24.126;U39.128;U16.151;U31.154;U35.154;W1.154;Z1.154;U1.179;U16.180;U2.204;U1.226;U2.227;U5.230;U10.301;U35.303;W1.304;U2.326;U11.326;U20.326;U17.327;U20.328;U1.402;U18.402;U6.405;U2.426;U5.427;U5.451;U19.476;U38.502;U1.526;U5.554;U6.604;U25.626;U5.630;U19.652;U32.677;W1.677;U24.679;U19.701;U5.702;U20.727;U29.751;U5.755;U5.778;U8.828;U2.853;U2.902;U33.930;U18.951;U20.952;U7.955;U31.978;U19.979;U12.1002;U33.1030;U2.1076;U10.1079;U17.1104;U27.1126;U2.1179;U43.1202;U2.1227;U15.1229;U7.1255;U21.1280;U6.1354;W1.1354;U19.1426;U13.1429;U16.1430;U21.1455",TRUE,TRUE,"Other",FALSE,FALSE,1.07217288017273,FALSE,NA,"Other",FALSE,FALSE,0.0445928573608398,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
155,"model4",50,"small",3,0.05,0.475350672379136,0.249451024644077,1,1,1,0,17,10,0.492046173946968,0.507763143652179,"M4",17,"U1.155;U2.155;U3.155;U4.155;U5.155;U6.155;U7.155;U8.155;U9.155;U10.155;U11.155;U12.155;U13.155;U14.155;U15.155;U16.155;U17.155",1,0,1,17,0,TRUE,FALSE,"Z1.155",74,1,73,16,72,TRUE,FALSE,"U17.2;U42.27;U6.77;U24.102;U38.126;U7.127;U2.130;U11.130;U17.130;U29.130;U4.152;U7.155;Z1.155;U6.177;U27.201;U19.205;W1.229;U5.254;U14.278;U11.330;U18.330;U25.330;U15.353;U1.354;U14.354;U7.355;U13.355;U20.402;U13.403;U28.503;U24.505;U6.529;U34.529;Z1.603;U16.604;U15.626;U38.626;U18.629;U22.629;U28.655;U22.676;U26.678;U4.702;U31.705;U5.726;U35.726;U13.752;U6.753;U17.755;U30.755;U5.801;U13.801;U3.879;U2.930;U27.930;U8.952;U1.977;U18.1078;U18.1102;U10.1151;U12.1201;U9.1202;U8.1203;U9.1203;U31.1228;U4.1303;U11.1305;U18.1351;U2.1353;U29.1380;U1.1430;U7.1453;U6.1477;U27.1479",TRUE,TRUE,"Other",FALSE,FALSE,0.0456809997558594,FALSE,NA,"Other",FALSE,FALSE,0.066957950592041,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
156,"model0",150,"small",3,0.19,0.392895463947207,0.114503495208919,1,1,1,0,11,1,0.334345183085391,0.297190084700148,"M0.1",11,"U1.156;U2.156;U3.156;U4.156;U5.156;U6.156;U7.156;U8.156;U9.156;U10.156;U11.156",2,1,1,10,0,TRUE,FALSE,"U10.156;Z1.156",103,4,99,7,98,TRUE,FALSE,"W1.6;U18.9;U18.57;U16.58;U5.81;U20.82;U26.82;U24.84;U3.110;U1.131;U2.156;U8.156;U10.156;U11.156;Z1.156;U7.181;U20.210;U30.231;U10.234;U17.258;U49.282;U15.283;U17.331;U22.332;U5.335;U20.356;U25.382;U27.382;U20.383;U30.383;U29.384;U11.406;Z1.406;U7.433;U27.433;U11.434;U48.458;U41.460;U10.482;U10.483;U17.483;U6.506;U28.506;U39.510;U34.532;U16.534;U30.558;U16.633;Z1.635;U19.681;U4.682;U6.731;U46.732;U13.734;U8.757;U11.760;U29.810;U36.834;U4.835;U24.856;U3.884;Z1.885;U3.934;Z1.935;U3.982;U21.1032;U15.1056;U37.1056;U24.1060;Z1.1081;U13.1106;U31.1108;W1.1133;U6.1135;U48.1135;U6.1158;U20.1158;U41.1183;U36.1207;U6.1210;U42.1256;U2.1257;U31.1257;U6.1259;U10.1259;U37.1259;U20.1283;W1.1307;U25.1334;U30.1356;U1.1358;U4.1358;U31.1382;Z1.1384;U38.1408;U5.1432;U3.1457;U21.1457;U4.1458;U7.1459;U23.1483;U5.1484;U7.1484",TRUE,TRUE,"Other",FALSE,FALSE,0.0519430637359619,FALSE,NA,"Other",FALSE,FALSE,0.0556139945983887,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
157,"model1",150,"small",3,0.18,0.110546248778701,0.130873933620751,1,1,1,0,46,1,0.62607229819905,0.692818820743295,"M1.1",46,"U1.157;U2.157;U3.157;U4.157;U5.157;U6.157;U7.157;U8.157;U9.157;U10.157;U11.157;U12.157;U13.157;U14.157;U15.157;U16.157;U17.157;U18.157;U19.157;U20.157;U21.157;U22.157;U23.157;U24.157;U25.157;U26.157;U27.157;U28.157;U29.157;U30.157;U31.157;U32.157;U33.157;U34.157;U35.157;U36.157;U37.157;U38.157;U39.157;U40.157;U41.157;U42.157;U43.157;U44.157;U45.157;U46.157",1,0,1,46,0,TRUE,FALSE,"Z1.157",107,7,100,39,99,TRUE,FALSE,"U45.6;U10.31;U26.59;U28.82;U8.85;U36.85;U20.132;U5.157;U8.157;U11.157;U12.157;U25.157;U31.157;U36.157;Z1.157;U6.158;U28.183;Z1.209;U3.256;U31.258;U2.285;W1.307;U4.310;U34.331;Z1.333;U5.335;W1.356;U32.358;U32.382;U17.408;U26.431;U28.431;U34.435;Z1.532;U33.560;U14.582;U26.582;U32.583;U11.584;U15.606;U5.633;Z1.634;U25.656;U3.658;U4.658;U41.659;Z1.660;U32.682;U11.706;U22.709;U28.709;U27.710;U21.731;U13.734;U3.756;U31.783;U28.810;U11.856;U26.857;U7.859;U12.884;U27.908;U11.909;U2.910;U2.960;U4.984;U14.1033;Z1.1058;U23.1060;Z1.1060;U6.1081;U35.1083;U37.1083;U29.1084;U20.1107;U17.1110;U11.1131;Z1.1134;U5.1159;Z1.1160;W1.1182;U1.1183;Z1.1184;U17.1206;U40.1206;U5.1207;U16.1210;U35.1258;U8.1285;U15.1306;U1.1308;U12.1309;U1.1331;U9.1332;U16.1332;U7.1335;U31.1335;U3.1359;U16.1381;U18.1382;U17.1431;U19.1431;U18.1435;U23.1457;Z1.1459;U3.1460;U9.1460",TRUE,TRUE,"Other",FALSE,FALSE,0.401932954788208,FALSE,NA,"Other",FALSE,FALSE,0.0430212020874023,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
158,"model2",150,"small",3,0.45,0.484676564484835,0.28709820555523,1,1,1,0,23,1,0.481978678999272,0.507309189179562,"M2.1",23,"U1.158;U2.158;U3.158;U4.158;U5.158;U6.158;U7.158;U8.158;U9.158;U10.158;U11.158;U12.158;U13.158;U14.158;U15.158;U16.158;U17.158;U18.158;U19.158;U20.158;U21.158;U22.158;U23.158",1,0,1,23,0,TRUE,FALSE,"Z1.158",96,5,91,18,89,TRUE,TRUE,"U15.7;U32.7;U1.9;U36.31;U37.31;U21.58;U2.81;U35.85;U3.110;U14.133;U36.134;U11.158;U13.158;U15.158;U19.158;U21.158;W1.158;Z1.158;U16.234;U9.256;U18.281;U26.283;U5.335;U9.356;W1.356;U1.357;U15.359;U5.384;U27.384;U7.410;Z1.431;U43.435;U50.435;U26.460;U7.483;U3.531;Z1.535;U4.558;U19.581;U23.581;U29.583;U21.610;U17.631;U43.656;U17.659;U24.681;U33.685;U10.710;U42.783;U2.807;U17.810;U20.834;U24.857;U18.859;U16.960;U3.1006;U30.1006;U7.1032;U15.1033;U1.1034;U10.1034;U10.1056;U4.1083;U34.1083;U7.1107;U17.1131;U11.1133;U10.1181;U12.1233;U19.1234;U21.1235;U3.1256;U17.1256;U5.1259;U9.1259;U15.1281;U14.1283;U5.1310;U23.1334;U2.1335;U16.1335;U24.1335;U36.1335;Z1.1356;U4.1358;U6.1360;U42.1382;U21.1406;U34.1406;U43.1406;U15.1409;U35.1433;U39.1435;U31.1459;U2.1483;U21.1485",TRUE,TRUE,"Other",FALSE,FALSE,0.0815510749816895,FALSE,NA,"Other",FALSE,FALSE,0.0344810485839844,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
159,"model3",150,"small",3,0.15,0.356770350690931,0.183868469623849,1,1,1,0,36,2,0.555711455623043,0.609247241596427,"M3",36,"U1.159;U2.159;U3.159;U4.159;U5.159;U6.159;U7.159;U8.159;U9.159;U10.159;U11.159;U12.159;U13.159;U14.159;U15.159;U16.159;U17.159;U18.159;U19.159;U20.159;U21.159;U22.159;U23.159;U24.159;U25.159;U26.159;U27.159;U28.159;U29.159;U30.159;U31.159;U32.159;U33.159;U34.159;U35.159;U36.159",1,0,1,36,0,TRUE,FALSE,"Z1.159",86,6,80,30,78,TRUE,TRUE,"U42.6;U21.9;U37.31;U1.33;U5.57;U24.57;U4.83;U7.85;U28.107;U19.134;U10.157;U16.157;U6.159;U11.159;U22.159;U24.159;U26.159;U29.159;W1.159;Z1.159;U11.183;U29.231;U34.231;U1.256;U16.258;U44.258;U6.282;Z1.306;U17.308;U13.331;U3.333;U15.333;U3.334;U2.384;U25.407;U24.408;U30.409;U33.432;U45.435;U24.485;U4.506;U7.510;U8.510;U4.558;U13.607;U27.631;U10.632;U26.634;U44.656;U15.658;U21.732;U21.758;U17.760;U14.782;U2.784;U32.785;U24.810;U27.810;U25.834;U1.881;U4.881;U17.883;U11.885;U14.885;U4.910;U18.933;U29.959;U15.981;U5.1058;U3.1081;U16.1106;U29.1131;U11.1132;Z1.1132;U7.1158;U21.1160;U35.1183;U40.1183;U43.1206;U22.1360;U13.1381;U40.1381;U31.1431;U19.1432;U14.1456;U34.1458",TRUE,TRUE,"Other",FALSE,FALSE,0.232950925827026,FALSE,NA,"Other",FALSE,FALSE,0.0294311046600342,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
160,"model4",150,"small",3,0.11,0.395319547411054,0.16422081287019,1,1,1,0,16,1,0.307005292932475,0.380631160591929,"M4",16,"U1.160;U2.160;U3.160;U4.160;U5.160;U6.160;U7.160;U8.160;U9.160;U10.160;U11.160;U12.160;U13.160;U14.160;U15.160;U16.160",1,0,1,16,0,TRUE,FALSE,"Z1.160",89,5,84,11,83,TRUE,FALSE,"U42.7;U40.31;U2.34;U15.34;U44.34;U4.58;U10.59;U20.82;U11.108;U1.160;U5.160;U7.160;U10.160;U13.160;Z1.160;U32.234;U21.256;U25.260;U16.283;U10.331;U14.333;W1.359;U27.407;U9.408;U15.409;U35.409;U28.433;U12.456;U14.506;U7.531;U13.531;U18.534;U9.556;U38.560;U14.585;U12.607;W1.610;U25.658;U16.660;U26.682;U8.708;U20.709;U5.731;U9.731;U14.731;U30.756;U35.756;U2.758;U29.760;U40.785;U8.806;U1.884;U4.885;U44.908;Z1.934;U2.935;U8.935;U3.981;U8.982;U4.983;Z1.1010;U30.1031;U34.1031;U17.1057;U5.1082;U31.1131;U45.1135;U11.1181;U19.1183;U2.1184;U32.1257;U14.1308;U38.1310;U25.1334;U6.1356;U25.1356;U6.1358;U16.1358;W1.1359;U8.1360;U28.1384;U31.1406;U11.1408;U23.1456;U28.1456;U3.1459;U30.1459;U27.1482;U20.1485",TRUE,TRUE,"Other",FALSE,FALSE,0.0458989143371582,FALSE,NA,"Other",FALSE,FALSE,0.0294730663299561,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
161,"model0",300,"small",3,0.2,0.338362322654575,0.177263048756868,1,1,1,0,20,1,0.439689940736339,0.465368785889908,"M0.1",20,"U1.161;U2.161;U3.161;U4.161;U5.161;U6.161;U7.161;U8.161;U9.161;U10.161;U11.161;U12.161;U13.161;U14.161;U15.161;U16.161;U17.161;U18.161;U19.161;U20.161",5,4,1,16,0,TRUE,FALSE,"U1.161;U6.161;U15.161;U19.161;Z1.161",93,15,78,5,76,TRUE,TRUE,"U11.87;U1.89;U1.137;U12.140;U1.161;U2.161;U3.161;U5.161;U6.161;U8.161;U9.161;U11.161;U13.161;U14.161;U15.161;U17.161;U18.161;U19.161;U20.161;W1.161;Z1.161;U2.162;U2.163;U13.164;U16.189;U17.212;U14.236;U5.238;U16.289;U15.312;Z1.314;U16.340;U4.363;U12.364;U7.389;U15.389;U21.389;U15.462;U21.487;U20.561;U16.564;U18.587;U26.637;U13.687;U12.713;U5.714;U16.762;U9.763;U19.763;U1.786;U19.786;U3.811;U18.811;U12.812;W1.813;U8.815;U30.815;U32.838;U16.886;U20.937;U10.987;U24.989;U15.990;U46.1012;U12.1036;U45.1038;U4.1061;U45.1063;U7.1136;U22.1136;U22.1139;U23.1139;U11.1162;U20.1162;U30.1165;U13.1188;U8.1213;U18.1236;U19.1237;U30.1261;U28.1337;U9.1340;U10.1363;U2.1390;U33.1411;U18.1413;U15.1438;U37.1438;Z1.1438;U24.1439;U31.1461;U35.1463;U19.1488",TRUE,TRUE,NA,FALSE,FALSE,NA,TRUE,"reached elapsed time limit [cpu=180s, elapsed=180s]","Other",FALSE,FALSE,0.732233047485352,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
162,"model1",300,"small",3,0.24,0.173485423065722,0.244524952443317,1,1,1,0,8,1,0.309408122563623,0.314764994365017,"M1.1",8,"U1.162;U2.162;U3.162;U4.162;U5.162;U6.162;U7.162;U8.162",6,5,1,3,0,TRUE,FALSE,"U1.162;U3.162;U4.162;U5.162;U7.162;Z1.162",91,8,83,0,81,TRUE,TRUE,"Z1.39;U22.62;U35.62;U14.88;U12.90;U2.111;U1.162;U2.162;U3.162;U4.162;U5.162;U6.162;U7.162;U8.162;W1.162;Z1.162;U6.186;U8.188;U2.214;U37.215;U35.263;U4.265;U33.265;U40.289;U14.290;U18.312;U6.340;U19.365;U20.463;U33.464;U14.488;U40.489;U12.511;U7.611;U32.636;U29.638;U22.639;U8.640;U18.663;Z1.714;U5.736;W1.738;U23.765;U28.790;U14.811;U25.814;U38.814;U24.815;U7.838;U14.838;U2.861;U2.862;U33.865;Z1.888;U44.914;U3.939;U18.940;W1.962;U16.963;U34.989;U8.1015;U18.1036;U4.1038;U16.1038;U27.1064;U6.1113;U8.1114;U13.1114;U12.1137;U19.1187;U1.1188;U15.1215;U5.1236;U28.1237;U40.1261;U3.1287;U16.1290;U10.1312;U5.1313;Z1.1314;U42.1337;U5.1340;U12.1362;U6.1386;U33.1388;U4.1411;U12.1412;U48.1438;U28.1439;U13.1462;U44.1489",TRUE,TRUE,"M0.1",FALSE,FALSE,4.18772101402283,FALSE,NA,"M1.1",TRUE,TRUE,0.475027084350586,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
163,"model2",300,"small",3,0.31,0.321730226930231,0.181031503854319,1,1,1,0,16,1,0.320101540543996,0.387160979191239,"M2.1",16,"U1.163;U2.163;U3.163;U4.163;U5.163;U6.163;U7.163;U8.163;U9.163;U10.163;U11.163;U12.163;U13.163;U14.163;U15.163;U16.163",5,3,2,13,1,TRUE,FALSE,"U2.12;U2.163;U5.163;U16.163;Z1.163",100,12,88,4,86,TRUE,TRUE,"U2.12;U33.38;U18.62;U26.62;U36.86;U1.115;U21.137;U1.163;U2.163;U3.163;U5.163;U6.163;U7.163;U9.163;U10.163;U12.163;U13.163;U14.163;U16.163;W1.163;Z1.163;U9.187;U2.212;U12.213;U9.262;U10.288;U13.290;U35.364;U22.365;U15.414;W1.436;U32.437;Z1.488;U12.489;U19.489;U27.489;U10.511;U10.512;U3.565;U3.587;U24.589;U36.636;U9.637;U38.638;U35.640;U10.661;U21.661;U15.662;U24.688;U9.712;U21.713;U24.763;U5.764;U13.790;Z1.790;U33.811;U1.814;U25.840;U39.862;U7.886;U12.886;U1.887;U10.890;U3.915;U8.937;U27.939;U13.989;U30.989;U13.1012;U12.1014;Z1.1014;U2.1015;U11.1015;U6.1036;U36.1088;U5.1089;U9.1089;U5.1137;U21.1139;U37.1165;U8.1187;U28.1187;U31.1190;U8.1236;U31.1237;U18.1238;U24.1261;U20.1286;U7.1287;W1.1290;U25.1337;U18.1339;U18.1340;U21.1363;U9.1386;U10.1390;U18.1461;U20.1463;U36.1463;W1.1489",TRUE,TRUE,"Other",FALSE,FALSE,22.2144799232483,FALSE,NA,"Other",FALSE,FALSE,0.122753858566284,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
