"method","arm","level","sample_size","effect_size","truth","predicted","n"
"mrgn","truth","model",50,"small","M3","M0",0
"mrgn","truth","model",50,"small","M4","M0",2
"mrgn","truth","model",50,"small","M0","M1",0
"mrgn","truth","model",50,"small","M1","M1",0
"mrgn","truth","model",50,"small","M2","M1",0
"mrgn","truth","model",50,"small","M3","M1",0
"mrgn","truth","model",50,"small","M4","M1",1
"mrgn","truth","model",50,"small","M0","M2",0
"mrgn","truth","model",50,"small","M1","M2",0
"mrgn","truth","model",50,"small","M2","M2",0
"mrgn","truth","model",50,"small","M3","M2",0
"mrgn","truth","model",50,"small","M4","M2",0
"mrgn","truth","model",50,"small","M0","M3",0
"mrgn","truth","model",50,"small","M1","M3",0
"mrgn","truth","model",50,"small","M2","M3",0
"mrgn","truth","model",50,"small","M3","M3",0
"mrgn","truth","model",50,"small","M4","M3",0
"mrgn","truth","model",50,"small","M0","M4",0
"mrgn","truth","model",50,"small","M1","M4",0
"mrgn","truth","model",50,"small","M2","M4",0
"mrgn","truth","model",50,"small","M3","M4",0
"mrgn","truth","model",50,"small","M4","M4",0
"mrgn","truth","model",50,"small","M0","Other",19
"mrgn","truth","model",50,"small","M1","Other",19
"mrgn","truth","model",50,"small","M2","Other",19
"mrgn","truth","model",50,"small","M3","Other",20
"mrgn","truth","model",50,"small","M4","Other",17
"mrgn","truth","edge",50,"small","M0","T1 - T2 Edge Absent",1
"mrgn","truth","edge",50,"small","M1","T1 - T2 Edge Absent",1
"mrgn","truth","edge",50,"small","M2","T1 - T2 Edge Absent",1
"mrgn","truth","edge",50,"small","M3","T1 - T2 Edge Absent",0
"mrgn","truth","edge",50,"small","M4","T1 - T2 Edge Absent",2
"mrgn","truth","edge",50,"small","M0","T1 - T2 Edge Present",0
"mrgn","truth","edge",50,"small","M1","T1 - T2 Edge Present",0
"mrgn","truth","edge",50,"small","M2","T1 - T2 Edge Present",0
"mrgn","truth","edge",50,"small","M3","T1 - T2 Edge Present",0
"mrgn","truth","edge",50,"small","M4","T1 - T2 Edge Present",1
"mrgn","truth","edge",50,"small","M0","Other",19
"mrgn","truth","edge",50,"small","M1","Other",19
"mrgn","truth","edge",50,"small","M2","Other",19
"mrgn","truth","edge",50,"small","M3","Other",20
"mrgn","truth","edge",50,"small","M4","Other",17
"mrgn","truth","model",50,"medium","M0","M0",2
"mrgn","truth","model",50,"medium","M1","M0",3
"mrgn","truth","model",50,"medium","M2","M0",8
"mrgn","truth","model",50,"medium","M3","M0",6
"mrgn","truth","model",50,"medium","M4","M0",1
"mrgn","truth","model",50,"medium","M0","M1",0
"mrgn","truth","model",50,"medium","M1","M1",1
"mrgn","truth","model",50,"medium","M2","M1",2
"mrgn","truth","model",50,"medium","M3","M1",0
"mrgn","truth","model",50,"medium","M4","M1",1
"mrgn","truth","model",50,"medium","M0","M2",0
"mrgn","truth","model",50,"medium","M1","M2",0
"mrgn","truth","model",50,"medium","M2","M2",0
"mrgn","truth","model",50,"medium","M3","M2",0
"mrgn","truth","model",50,"medium","M4","M2",0
"mrgn","truth","model",50,"medium","M0","M3",0
"mrgn","truth","model",50,"medium","M1","M3",0
"mrgn","truth","model",50,"medium","M2","M3",0
"mrgn","truth","model",50,"medium","M3","M3",2
"mrgn","truth","model",50,"medium","M4","M3",1
"mrgn","truth","model",50,"medium","M0","M4",0
"mrgn","truth","model",50,"medium","M1","M4",0
"mrgn","truth","model",50,"medium","M2","M4",0
"mrgn","truth","model",50,"medium","M3","M4",0
"mrgn","truth","model",50,"medium","M4","M4",0
"mrgn","truth","model",50,"medium","M0","Other",18
"mrgn","truth","model",50,"medium","M1","Other",16
"mrgn","truth","model",50,"medium","M2","Other",10
"mrgn","truth","model",50,"medium","M3","Other",12
"mrgn","truth","model",50,"medium","M4","Other",17
"mrgn","truth","edge",50,"medium","M0","T1 - T2 Edge Absent",2
"mrgn","truth","edge",50,"medium","M1","T1 - T2 Edge Absent",3
"mrgn","truth","edge",50,"medium","M2","T1 - T2 Edge Absent",8
"mrgn","truth","edge",50,"medium","M3","T1 - T2 Edge Absent",8
"mrgn","truth","edge",50,"medium","M4","T1 - T2 Edge Absent",2
"mrgn","truth","edge",50,"medium","M0","T1 - T2 Edge Present",0
"mrgn","truth","edge",50,"medium","M1","T1 - T2 Edge Present",1
"mrgn","truth","edge",50,"medium","M2","T1 - T2 Edge Present",2
"mrgn","truth","edge",50,"medium","M3","T1 - T2 Edge Present",0
"mrgn","truth","edge",50,"medium","M4","T1 - T2 Edge Present",1
"mrgn","truth","edge",50,"medium","M0","Other",18
"mrgn","truth","edge",50,"medium","M1","Other",16
"mrgn","truth","edge",50,"medium","M2","Other",10
"mrgn","truth","edge",50,"medium","M3","Other",12
"mrgn","truth","edge",50,"medium","M4","Other",17
"mrgn","truth","model",50,"large","M0","M0",14
"mrgn","truth","model",50,"large","M1","M0",0
"mrgn","truth","model",50,"large","M2","M0",1
"mrgn","truth","model",50,"large","M3","M0",6
"mrgn","truth","model",50,"large","M4","M0",2
"mrgn","truth","model",50,"large","M0","M1",0
"mrgn","truth","model",50,"large","M1","M1",6
"mrgn","truth","model",50,"large","M2","M1",8
"mrgn","truth","model",50,"large","M3","M1",0
"mrgn","truth","model",50,"large","M4","M1",6
"mrgn","truth","model",50,"large","M0","M2",0
"mrgn","truth","model",50,"large","M1","M2",0
"mrgn","truth","model",50,"large","M2","M2",5
"mrgn","truth","model",50,"large","M3","M2",0
"mrgn","truth","model",50,"large","M4","M2",0
"mrgn","truth","model",50,"large","M0","M3",0
"mrgn","truth","model",50,"large","M1","M3",0
"mrgn","truth","model",50,"large","M2","M3",1
"mrgn","truth","model",50,"large","M3","M3",9
"mrgn","truth","model",50,"large","M4","M3",0
"mrgn","truth","model",50,"large","M0","M4",0
"mrgn","truth","model",50,"large","M1","M4",0
"mrgn","truth","model",50,"large","M2","M4",0
"mrgn","truth","model",50,"large","M3","M4",0
"mrgn","truth","model",50,"large","M4","M4",0
"mrgn","truth","model",50,"large","M0","Other",6
"mrgn","truth","model",50,"large","M1","Other",14
"mrgn","truth","model",50,"large","M2","Other",5
"mrgn","truth","model",50,"large","M3","Other",5
"mrgn","truth","model",50,"large","M4","Other",12
"mrgn","truth","edge",50,"large","M0","T1 - T2 Edge Absent",14
"mrgn","truth","edge",50,"large","M1","T1 - T2 Edge Absent",0
"mrgn","truth","edge",50,"large","M2","T1 - T2 Edge Absent",2
"mrgn","truth","edge",50,"large","M3","T1 - T2 Edge Absent",15
"mrgn","truth","edge",50,"large","M4","T1 - T2 Edge Absent",2
"mrgn","truth","edge",50,"large","M0","T1 - T2 Edge Present",0
"mrgn","truth","edge",50,"large","M1","T1 - T2 Edge Present",6
"mrgn","truth","edge",50,"large","M2","T1 - T2 Edge Present",13
"mrgn","truth","edge",50,"large","M3","T1 - T2 Edge Present",0
"mrgn","truth","edge",50,"large","M4","T1 - T2 Edge Present",6
"mrgn","truth","edge",50,"large","M0","Other",6
"mrgn","truth","edge",50,"large","M1","Other",14
"mrgn","truth","edge",50,"large","M2","Other",5
"mrgn","truth","edge",50,"large","M3","Other",5
"mrgn","truth","edge",50,"large","M4","Other",12
"mrgn","truth","model",150,"all","M0","M0",43
"mrgn","truth","model",150,"all","M1","M0",8
"mrgn","truth","model",150,"all","M2","M0",3
"mrgn","truth","model",150,"all","M3","M0",10
"mrgn","truth","model",150,"all","M4","M0",4
"mrgn","truth","model",150,"all","M0","M1",1
"mrgn","truth","model",150,"all","M1","M1",31
"mrgn","truth","model",150,"all","M2","M1",21
"mrgn","truth","model",150,"all","M3","M1",0
"mrgn","truth","model",150,"all","M4","M1",27
"mrgn","truth","model",150,"all","M0","M2",0
"mrgn","truth","model",150,"all","M1","M2",0
"mrgn","truth","model",150,"all","M2","M2",13
"mrgn","truth","model",150,"all","M3","M2",0
"mrgn","truth","model",150,"all","M4","M2",0
"mrgn","truth","model",150,"all","M0","M3",0
"mrgn","truth","model",150,"all","M1","M3",0
"mrgn","truth","model",150,"all","M2","M3",1
"mrgn","truth","model",150,"all","M3","M3",32
"mrgn","truth","model",150,"all","M4","M3",3
"mrgn","truth","model",150,"all","M0","M4",0
"mrgn","truth","model",150,"all","M1","M4",0
"mrgn","truth","model",150,"all","M2","M4",0
"mrgn","truth","model",150,"all","M3","M4",2
"mrgn","truth","model",150,"all","M4","M4",8
"mrgn","truth","model",150,"all","M0","Other",16
"mrgn","truth","model",150,"all","M1","Other",21
"mrgn","truth","model",150,"all","M2","Other",22
"mrgn","truth","model",150,"all","M3","Other",16
"mrgn","truth","model",150,"all","M4","Other",18
"mrgn","truth","edge",150,"all","M0","T1 - T2 Edge Absent",43
"mrgn","truth","edge",150,"all","M1","T1 - T2 Edge Absent",8
"mrgn","truth","edge",150,"all","M2","T1 - T2 Edge Absent",4
"mrgn","truth","edge",150,"all","M3","T1 - T2 Edge Absent",42
"mrgn","truth","edge",150,"all","M4","T1 - T2 Edge Absent",7
"mrgn","truth","edge",150,"all","M0","T1 - T2 Edge Present",1
"mrgn","truth","edge",150,"all","M1","T1 - T2 Edge Present",31
"mrgn","truth","edge",150,"all","M2","T1 - T2 Edge Present",34
"mrgn","truth","edge",150,"all","M3","T1 - T2 Edge Present",2
"mrgn","truth","edge",150,"all","M4","T1 - T2 Edge Present",35
"mrgn","truth","edge",150,"all","M0","Other",16
"mrgn","truth","edge",150,"all","M1","Other",21
"mrgn","truth","edge",150,"all","M2","Other",22
"mrgn","truth","edge",150,"all","M3","Other",16
"mrgn","truth","edge",150,"all","M4","Other",18
"mrgn","truth","model",150,"small","M0","M0",5
"mrgn","truth","model",150,"small","M1","M0",6
"mrgn","truth","model",150,"small","M2","M0",0
"mrgn","truth","model",150,"small","M3","M0",5
"mrgn","truth","model",150,"small","M4","M0",4
"mrgn","truth","model",150,"small","M0","M1",0
"mrgn","truth","model",150,"small","M1","M1",1
"mrgn","truth","model",150,"small","M2","M1",2
"mrgn","truth","model",150,"small","M3","M1",0
"mrgn","truth","model",150,"small","M4","M1",0
"mrgn","truth","model",150,"small","M0","M2",0
"mrgn","truth","model",150,"small","M1","M2",0
"mrgn","truth","model",150,"small","M2","M2",0
"mrgn","truth","model",150,"small","M3","M2",0
"mrgn","truth","model",150,"small","M4","M2",0
"mrgn","truth","model",150,"small","M0","M3",0
"mrgn","truth","model",150,"small","M1","M3",0
"mrgn","truth","model",150,"small","M2","M3",0
"mrgn","truth","model",150,"small","M3","M3",0
"mrgn","truth","model",150,"small","M4","M3",2
"mrgn","truth","model",150,"small","M0","M4",0
"mrgn","truth","model",150,"small","M1","M4",0
"mrgn","truth","model",150,"small","M2","M4",0
"mrgn","truth","model",150,"small","M3","M4",0
"mrgn","truth","model",150,"small","M4","M4",0
"mrgn","truth","model",150,"small","M0","Other",15
"mrgn","truth","model",150,"small","M1","Other",13
"mrgn","truth","model",150,"small","M2","Other",18
"mrgn","truth","model",150,"small","M3","Other",15
"mrgn","truth","model",150,"small","M4","Other",14
"mrgn","truth","edge",150,"small","M0","T1 - T2 Edge Absent",5
"mrgn","truth","edge",150,"small","M1","T1 - T2 Edge Absent",6
"mrgn","truth","edge",150,"small","M2","T1 - T2 Edge Absent",0
"mrgn","truth","edge",150,"small","M3","T1 - T2 Edge Absent",5
"mrgn","truth","edge",150,"small","M4","T1 - T2 Edge Absent",6
"mrgn","truth","edge",150,"small","M0","T1 - T2 Edge Present",0
"mrgn","truth","edge",150,"small","M1","T1 - T2 Edge Present",1
"mrgn","truth","edge",150,"small","M2","T1 - T2 Edge Present",2
"mrgn","truth","edge",150,"small","M3","T1 - T2 Edge Present",0
"mrgn","truth","edge",150,"small","M4","T1 - T2 Edge Present",0
"mrgn","truth","edge",150,"small","M0","Other",15
"mrgn","truth","edge",150,"small","M1","Other",13
"mrgn","truth","edge",150,"small","M2","Other",18
"mrgn","truth","edge",150,"small","M3","Other",15
"mrgn","truth","edge",150,"small","M4","Other",14
"mrgn","truth","model",150,"medium","M0","M0",18
"mrgn","truth","model",150,"medium","M1","M0",2
"mrgn","truth","model",150,"medium","M2","M0",3
"mrgn","truth","model",150,"medium","M3","M0",5
"mrgn","truth","model",150,"medium","M4","M0",0
"mrgn","truth","model",150,"medium","M0","M1",1
"mrgn","truth","model",150,"medium","M1","M1",11
"mrgn","truth","model",150,"medium","M2","M1",12
"mrgn","truth","model",150,"medium","M3","M1",0
"mrgn","truth","model",150,"medium","M4","M1",9
"mrgn","truth","model",150,"medium","M0","M2",0
"mrgn","truth","model",150,"medium","M1","M2",0
"mrgn","truth","model",150,"medium","M2","M2",0
"mrgn","truth","model",150,"medium","M3","M2",0
"mrgn","truth","model",150,"medium","M4","M2",0
"mrgn","truth","model",150,"medium","M0","M3",0
"mrgn","truth","model",150,"medium","M1","M3",0
"mrgn","truth","model",150,"medium","M2","M3",1
"mrgn","truth","model",150,"medium","M3","M3",14
"mrgn","truth","model",150,"medium","M4","M3",1
"mrgn","truth","model",150,"medium","M0","M4",0
"mrgn","truth","model",150,"medium","M1","M4",0
"mrgn","truth","model",150,"medium","M2","M4",0
"mrgn","truth","model",150,"medium","M3","M4",0
"mrgn","truth","model",150,"medium","M4","M4",7
"mrgn","truth","model",150,"medium","M0","Other",1
"mrgn","truth","model",150,"medium","M1","Other",7
"mrgn","truth","model",150,"medium","M2","Other",4
"mrgn","truth","model",150,"medium","M3","Other",1
"mrgn","truth","model",150,"medium","M4","Other",3
"mrgn","truth","edge",150,"medium","M0","T1 - T2 Edge Absent",18
"mrgn","truth","edge",150,"medium","M1","T1 - T2 Edge Absent",2
"mrgn","truth","edge",150,"medium","M2","T1 - T2 Edge Absent",4
"mrgn","truth","edge",150,"medium","M3","T1 - T2 Edge Absent",19
"mrgn","truth","edge",150,"medium","M4","T1 - T2 Edge Absent",1
"mrgn","truth","edge",150,"medium","M0","T1 - T2 Edge Present",1
"mrgn","truth","edge",150,"medium","M1","T1 - T2 Edge Present",11
"mrgn","truth","edge",150,"medium","M2","T1 - T2 Edge Present",12
"mrgn","truth","edge",150,"medium","M3","T1 - T2 Edge Present",0
"mrgn","truth","edge",150,"medium","M4","T1 - T2 Edge Present",16
"mrgn","truth","edge",150,"medium","M0","Other",1
"mrgn","truth","edge",150,"medium","M1","Other",7
"mrgn","truth","edge",150,"medium","M2","Other",4
"mrgn","truth","edge",150,"medium","M3","Other",1
"mrgn","truth","edge",150,"medium","M4","Other",3
"mrgn","truth","model",150,"large","M0","M0",20
"mrgn","truth","model",150,"large","M1","M0",0
"mrgn","truth","model",150,"large","M2","M0",0
"mrgn","truth","model",150,"large","M3","M0",0
"mrgn","truth","model",150,"large","M4","M0",0
"mrgn","truth","model",150,"large","M0","M1",0
"mrgn","truth","model",150,"large","M1","M1",19
"mrgn","truth","model",150,"large","M2","M1",7
"mrgn","truth","model",150,"large","M3","M1",0
"mrgn","truth","model",150,"large","M4","M1",18
"mrgn","truth","model",150,"large","M0","M2",0
"mrgn","truth","model",150,"large","M1","M2",0
"mrgn","truth","model",150,"large","M2","M2",13
"mrgn","truth","model",150,"large","M3","M2",0
"mrgn","truth","model",150,"large","M4","M2",0
"mrgn","truth","model",150,"large","M0","M3",0
"mrgn","truth","model",150,"large","M1","M3",0
"mrgn","truth","model",150,"large","M2","M3",0
"mrgn","truth","model",150,"large","M3","M3",18
"mrgn","truth","model",150,"large","M4","M3",0
"mrgn","truth","model",150,"large","M0","M4",0
"mrgn","truth","model",150,"large","M1","M4",0
"mrgn","truth","model",150,"large","M2","M4",0
"mrgn","truth","model",150,"large","M3","M4",2
"mrgn","truth","model",150,"large","M4","M4",1
"mrgn","truth","model",150,"large","M0","Other",0
"mrgn","truth","model",150,"large","M1","Other",1
"mrgn","truth","model",150,"large","M2","Other",0
"mrgn","truth","model",150,"large","M3","Other",0
"mrgn","truth","model",150,"large","M4","Other",1
"mrgn","truth","edge",150,"large","M0","T1 - T2 Edge Absent",20
"mrgn","truth","edge",150,"large","M1","T1 - T2 Edge Absent",0
"mrgn","truth","edge",150,"large","M2","T1 - T2 Edge Absent",0
"mrgn","truth","edge",150,"large","M3","T1 - T2 Edge Absent",18
"mrgn","truth","edge",150,"large","M4","T1 - T2 Edge Absent",0
"mrgn","truth","edge",150,"large","M0","T1 - T2 Edge Present",0
"mrgn","truth","edge",150,"large","M1","T1 - T2 Edge Present",19
"mrgn","truth","edge",150,"large","M2","T1 - T2 Edge Present",20
"mrgn","truth","edge",150,"large","M3","T1 - T2 Edge Present",2
"mrgn","truth","edge",150,"large","M4","T1 - T2 Edge Present",19
"mrgn","truth","edge",150,"large","M0","Other",0
"mrgn","truth","edge",150,"large","M1","Other",1
"mrgn","truth","edge",150,"large","M2","Other",0
"mrgn","truth","edge",150,"large","M3","Other",0
"mrgn","truth","edge",150,"large","M4","Other",1
"mrgn","truth","model",300,"all","M0","M0",38
"mrgn","truth","model",300,"all","M1","M0",4
"mrgn","truth","model",300,"all","M2","M0",3
"mrgn","truth","model",300,"all","M3","M0",4
"mrgn","truth","model",300,"all","M4","M0",1
"mrgn","truth","model",300,"all","M0","M1",12
"mrgn","truth","model",300,"all","M1","M1",43
"mrgn","truth","model",300,"all","M2","M1",22
"mrgn","truth","model",300,"all","M3","M1",0
"mrgn","truth","model",300,"all","M4","M1",20
"mrgn","truth","model",300,"all","M0","M2",1
"mrgn","truth","model",300,"all","M1","M2",0
"mrgn","truth","model",300,"all","M2","M2",20
"mrgn","truth","model",300,"all","M3","M2",0
"mrgn","truth","model",300,"all","M4","M2",2
"mrgn","truth","model",300,"all","M0","M3",1
"mrgn","truth","model",300,"all","M1","M3",1
"mrgn","truth","model",300,"all","M2","M3",0
"mrgn","truth","model",300,"all","M3","M3",40
"mrgn","truth","model",300,"all","M4","M3",4
"mrgn","truth","model",300,"all","M0","M4",0
"mrgn","truth","model",300,"all","M1","M4",1
"mrgn","truth","model",300,"all","M2","M4",1
"mrgn","truth","model",300,"all","M3","M4",3
"mrgn","truth","model",300,"all","M4","M4",21
"mrgn","truth","model",300,"all","M0","Other",8
"mrgn","truth","model",300,"all","M1","Other",11
"mrgn","truth","model",300,"all","M2","Other",14
"mrgn","truth","model",300,"all","M3","Other",13
"mrgn","truth","model",300,"all","M4","Other",12
"mrgn","truth","edge",300,"all","M0","T1 - T2 Edge Absent",39
"mrgn","truth","edge",300,"all","M1","T1 - T2 Edge Absent",5
"mrgn","truth","edge",300,"all","M2","T1 - T2 Edge Absent",3
"mrgn","truth","edge",300,"all","M3","T1 - T2 Edge Absent",44
"mrgn","truth","edge",300,"all","M4","T1 - T2 Edge Absent",5
"mrgn","truth","edge",300,"all","M0","T1 - T2 Edge Present",13
"mrgn","truth","edge",300,"all","M1","T1 - T2 Edge Present",44
"mrgn","truth","edge",300,"all","M2","T1 - T2 Edge Present",43
"mrgn","truth","edge",300,"all","M3","T1 - T2 Edge Present",3
"mrgn","truth","edge",300,"all","M4","T1 - T2 Edge Present",43
"mrgn","truth","edge",300,"all","M0","Other",8
"mrgn","truth","edge",300,"all","M1","Other",11
"mrgn","truth","edge",300,"all","M2","Other",14
"mrgn","truth","edge",300,"all","M3","Other",13
"mrgn","truth","edge",300,"all","M4","Other",12
"mrgn","truth","model",300,"small","M0","M0",9
"mrgn","truth","model",300,"small","M1","M0",4
"mrgn","truth","model",300,"small","M2","M0",3
"mrgn","truth","model",300,"small","M3","M0",2
"mrgn","truth","model",300,"small","M4","M0",1
"mrgn","truth","model",300,"small","M0","M1",4
"mrgn","truth","model",300,"small","M1","M1",5
"mrgn","truth","model",300,"small","M2","M1",4
"mrgn","truth","model",300,"small","M3","M1",0
"mrgn","truth","model",300,"small","M4","M1",2
"mrgn","truth","model",300,"small","M0","M2",0
"mrgn","truth","model",300,"small","M1","M2",0
"mrgn","truth","model",300,"small","M2","M2",0
"mrgn","truth","model",300,"small","M3","M2",0
"mrgn","truth","model",300,"small","M4","M2",2
"mrgn","truth","model",300,"small","M0","M3",0
"mrgn","truth","model",300,"small","M1","M3",0
"mrgn","truth","model",300,"small","M2","M3",0
"mrgn","truth","model",300,"small","M3","M3",5
"mrgn","truth","model",300,"small","M4","M3",2
"mrgn","truth","model",300,"small","M0","M4",0
"mrgn","truth","model",300,"small","M1","M4",0
"mrgn","truth","model",300,"small","M2","M4",0
"mrgn","truth","model",300,"small","M3","M4",1
"mrgn","truth","model",300,"small","M4","M4",1
"mrgn","truth","model",300,"small","M0","Other",7
"mrgn","truth","model",300,"small","M1","Other",11
"mrgn","truth","model",300,"small","M2","Other",13
"mrgn","truth","model",300,"small","M3","Other",12
"mrgn","truth","model",300,"small","M4","Other",12
"mrgn","truth","edge",300,"small","M0","T1 - T2 Edge Absent",9
"mrgn","truth","edge",300,"small","M1","T1 - T2 Edge Absent",4
"mrgn","truth","edge",300,"small","M2","T1 - T2 Edge Absent",3
"mrgn","truth","edge",300,"small","M3","T1 - T2 Edge Absent",7
"mrgn","truth","edge",300,"small","M4","T1 - T2 Edge Absent",3
"mrgn","truth","edge",300,"small","M0","T1 - T2 Edge Present",4
"mrgn","truth","edge",300,"small","M1","T1 - T2 Edge Present",5
"mrgn","truth","edge",300,"small","M2","T1 - T2 Edge Present",4
"mrgn","truth","edge",300,"small","M3","T1 - T2 Edge Present",1
"mrgn","truth","edge",300,"small","M4","T1 - T2 Edge Present",5
"mrgn","truth","edge",300,"small","M0","Other",7
"mrgn","truth","edge",300,"small","M1","Other",11
"mrgn","truth","edge",300,"small","M2","Other",13
"mrgn","truth","edge",300,"small","M3","Other",12
"mrgn","truth","edge",300,"small","M4","Other",12
"mrgn","truth","model",300,"medium","M0","M0",13
"mrgn","truth","model",300,"medium","M1","M0",0
"mrgn","truth","model",300,"medium","M2","M0",0
"mrgn","truth","model",300,"medium","M3","M0",1
"mrgn","truth","model",300,"medium","M4","M0",0
"mrgn","truth","model",300,"medium","M0","M1",4
"mrgn","truth","model",300,"medium","M1","M1",18
"mrgn","truth","model",300,"medium","M2","M1",14
"mrgn","truth","model",300,"medium","M3","M1",0
"mrgn","truth","model",300,"medium","M4","M1",2
"mrgn","truth","model",300,"medium","M0","M2",1
"mrgn","truth","model",300,"medium","M1","M2",0
"mrgn","truth","model",300,"medium","M2","M2",5
"mrgn","truth","model",300,"medium","M3","M2",0
"mrgn","truth","model",300,"medium","M4","M2",0
"mrgn","truth","model",300,"medium","M0","M3",1
"mrgn","truth","model",300,"medium","M1","M3",1
"mrgn","truth","model",300,"medium","M2","M3",0
"mrgn","truth","model",300,"medium","M3","M3",17
"mrgn","truth","model",300,"medium","M4","M3",2
"mrgn","truth","model",300,"medium","M0","M4",0
"mrgn","truth","model",300,"medium","M1","M4",1
"mrgn","truth","model",300,"medium","M2","M4",1
"mrgn","truth","model",300,"medium","M3","M4",1
"mrgn","truth","model",300,"medium","M4","M4",16
"mrgn","truth","model",300,"medium","M0","Other",1
"mrgn","truth","model",300,"medium","M1","Other",0
"mrgn","truth","model",300,"medium","M2","Other",0
"mrgn","truth","model",300,"medium","M3","Other",1
"mrgn","truth","model",300,"medium","M4","Other",0
"mrgn","truth","edge",300,"medium","M0","T1 - T2 Edge Absent",14
"mrgn","truth","edge",300,"medium","M1","T1 - T2 Edge Absent",1
"mrgn","truth","edge",300,"medium","M2","T1 - T2 Edge Absent",0
"mrgn","truth","edge",300,"medium","M3","T1 - T2 Edge Absent",18
"mrgn","truth","edge",300,"medium","M4","T1 - T2 Edge Absent",2
"mrgn","truth","edge",300,"medium","M0","T1 - T2 Edge Present",5
"mrgn","truth","edge",300,"medium","M1","T1 - T2 Edge Present",19
"mrgn","truth","edge",300,"medium","M2","T1 - T2 Edge Present",20
"mrgn","truth","edge",300,"medium","M3","T1 - T2 Edge Present",1
"mrgn","truth","edge",300,"medium","M4","T1 - T2 Edge Present",18
"mrgn","truth","edge",300,"medium","M0","Other",1
"mrgn","truth","edge",300,"medium","M1","Other",0
"mrgn","truth","edge",300,"medium","M2","Other",0
"mrgn","truth","edge",300,"medium","M3","Other",1
"mrgn","truth","edge",300,"medium","M4","Other",0
"mrgn","truth","model",300,"large","M0","M0",16
"mrgn","truth","model",300,"large","M1","M0",0
"mrgn","truth","model",300,"large","M2","M0",0
"mrgn","truth","model",300,"large","M3","M0",1
"mrgn","truth","model",300,"large","M4","M0",0
"mrgn","truth","model",300,"large","M0","M1",4
"mrgn","truth","model",300,"large","M1","M1",20
"mrgn","truth","model",300,"large","M2","M1",4
"mrgn","truth","model",300,"large","M3","M1",0
"mrgn","truth","model",300,"large","M4","M1",16
"mrgn","truth","model",300,"large","M0","M2",0
"mrgn","truth","model",300,"large","M1","M2",0
"mrgn","truth","model",300,"large","M2","M2",15
"mrgn","truth","model",300,"large","M3","M2",0
"mrgn","truth","model",300,"large","M4","M2",0
"mrgn","truth","model",300,"large","M0","M3",0
"mrgn","truth","model",300,"large","M1","M3",0
"mrgn","truth","model",300,"large","M2","M3",0
"mrgn","truth","model",300,"large","M3","M3",18
"mrgn","truth","model",300,"large","M4","M3",0
"mrgn","truth","model",300,"large","M0","M4",0
"mrgn","truth","model",300,"large","M1","M4",0
"mrgn","truth","model",300,"large","M2","M4",0
"mrgn","truth","model",300,"large","M3","M4",1
"mrgn","truth","model",300,"large","M4","M4",4
